FILER_BED_format	FILER_BED_type	FILER_BED_schema	FILER_BED_total_columns	FILER_BED_AutoSQL_files	bigBed_type	biBed_total_columns	bigBed_autoSQL_schema	bigBed_AutoSQL_files	Comments
bed bed_dREG	bed3+3	chrom;chromStart;chromEnd;dREg-score;dREG-p_value;center	6	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed_dREG.as	bed3+3	6	chrom;chromStart;chromEnd;dREg_score;dREG_pvalue;center	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed_dREG.as	
bed bed3	bed3	chrom;chromStart;chromEnd	3	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3.as	bed3	3	chrom;chromStart;chromEnd	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed3.as	
bed bed3+5 FactorbookPeaks	bed3+5	chrom;chromStart;chromEnd;TF;expNum;expScore;cell-type;canonical-TF-term	8	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+5_FactorbookPeaks.as	bed3+5	8	chrom;chromStart;chromEnd;TF;expNum;expScore;cell_type;canonical_TF_term	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed3+5_FactorbookPeaks.as	
bed bed4	bed4	chrom;chromStart;chromEnd;name	4	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed4.as	bed4	4	chrom;chromStart;chromEnd;name	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed4.as	
bed bed4+2 DASHR2	bed4+2	chrom;chromStart;chromEnd;name;type;strand	6	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed4+2_DASHR2.as	bed4+2	6	chrom;chromStart;chromEnd;name;type;strand	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed4+2_DASHR2.as	
bed bed5	bed5	chrom;chromStart;chromEnd;name;score	5	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed5.as	bed5	5	chrom;chromStart;chromEnd;name;score	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed5.as	
bed bed5 ENCODE	bed4+1	chrom;chromStart;chromEnd;name;FDR-footprints	5	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed5_ENCODE.as	bed4+1	5	chrom;chromStart;chromEnd;name;FDR_footprints	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed5_ENCODE.as	
bed bed4+19 interact	bed4+19	anchorChrom;anchorStart;anchorEnd;anchorName;interactionAttr;chrom;chromStart;chromEnd;name;score;value;exp;color;sourceChrom;sourceStart;sourceEnd;sourceName;sourceStrand;targetChrom;targetStart;targetEnd;targetName;targetStrand	23	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed4+19_interact.as	bed5+13	18	chrom;chromStart;chromEnd;name;score;value;exp;color;sourceChrom;sourceStart;sourceEnd;sourceName;sourceStrand;targetChrom;targetStart;targetEnd;targetName;targetStrand	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed5+13_interact.as	dropped first 5 column in the bigBed files
bed bed5+30 GWAS-catalog	bed5+30	chrom;chromStart;chromEnd;SNPS;P-VALUE;REGION;REPORTED_GENE(S);MAPPED_GENE;UPSTREAM_GENE_ID;DOWNSTREAM_GENE_ID;SNP_GENE_IDS;UPSTREAM_GENE_DISTANCE;DOWNSTREAM_GENE_DISTANCE;STRONGEST_SNP-RISK_ALLELE;MERGED;SNP_ID_CURRENT;CONTEXT;INTERGENIC;RISK_ALLELE_FREQUENCY;PVALUE_MLOG;P-VALUE(TEXT);OR_or_BETA;95%-CI(TEXT);PLATFORM_[SNPS-PASSING-QC];CNV;DATE_ADDED_TO_CATALOG;PUBMEDID;FIRST_AUTHOR;DATE;JOURNAL;LINK;STUDY;DISEASE/TRAIT;INITIAL_SAMPLE_SIZE;REPLICATION_SAMPLE_SIZE	35	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed5+30_GWAS-catalog.as	bed5+30	35	chrom;chromStart;chromEnd;name;score;REGION;REPORTED_GENES;MAPPED_GENE;UPSTREAM_GENE_ID;DOWNSTREAM_GENE_ID;SNP_GENE_IDS;UPSTREAM_GENE_DISTANCE;DOWNSTREAM_GENE_DISTANCE;STRONGEST_SNP_RISK_ALLELE;MERGED;SNP_ID_CURRENT;CONTEXT;INTERGENIC;RISK_ALLELE_FREQUENCY;PVALUE_MLOG;PVALUE_TEXT;OR_or_BETA;CI;PLATFORM;CNV;DATE_ADDED_TO_CATALOG;PUBMEDID;FIRST_AUTHOR;DATE;JOURNAL;LINK;STUDY;DISEASE_TRAIT;INITIAL_SAMPLE_SIZE;REPLICATION_SAMPLE_SIZE	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed5+30_GWAS-catalog.as	
bed bed6	bed6	chrom;chromStart;chromEnd;name;score;strand	6	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6.as	bed6	6	chrom;chromStart;chromEnd;name;score;strand	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6.as	
bed bed6+11 FactorbookMotif	bed6+11	chrom;chromStart;chromEnd;hocomoco_jaspar_TF_name;FB_score;strand;binding_sequence;FB_pwm_ID;FB_consensus_sequence;FB_ChIP-Seq_target;HOCOMOCO_pwm_ID;HOCOMOCO_Target_consensus;HOCOMOCO_q-value;JASPAR_pwm_ID;JASPAR_Target_consensus;JASPAR_q-value;ENCODE_exp_bigBed_bed_IDs	17	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+11_FactorbookMotif.as	bed6+11	17	chrom;chromStart;chromEnd;name;score;strand;binding_sequence;FB_pwm_ID;FB_consensus_sequence;FB_ChIP_Seq_target;HOCOMOCO_pwm_ID;HOCOMOCO_Target_consensus;HOCOMOCO_qvalue;JASPAR_pwm_ID;JASPAR_Target_consensus;JASPAR_qvalue;ENCODE_exp_bigBed_bed_IDs	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+11_FactorbookMotif.as	
bed bed6+14 qtl	bed6+14	chrom;chromStart;chromEnd;variant_id;pval;target_strand;ref;alt;target_gene_symbol;target_ensembl_id;target;z_score_non_ref;beta_non_ref;beta_se_non_ref;FDR;non_ref_af;qtl_dist_to_target;QC_info;target_info;user_input	20	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+14_qtl.as	bed6+16	22	chrom;chromStart;chromEnd;name;score;strand;ref;alt;target_gene_symbol;target_ensembl_id;target;pval;z_score_non_ref;beta_non_ref;beta_se_non_ref;FDR;non_ref_af;qtl_dist_to_target;QC_info;target_info;user_input;variant_id	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+16_qtl.as	2 additional column in the bigBed files, keeping the original pValue and variant_id 
bed bed6+2 miRNA	bed6+2	chrom;chromStart;chromEnd;name;score;strand;miRNAname;expressionValue	8	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+2_miRNA.as	bed6+2	8	chrom;chromStart;chromEnd;name;score;strand;miRNAname;expressionValue	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+2_miRNA.as	
bed bed6+3 FactorbookMotifs	bed6+3	chrom;chromStart;chromEnd;motif_id;-log10(qvalue);strand;qvalue;binding_sequence;peak_region	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+3_FactorbookMotifs.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;qvalue;binding_sequence;peak_region	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+3_FactorbookMotifs.as	
bed bed6+5 ATACdb	bed6+5	chrom;chromStart;chromEnd;name;score;strand;motif_id;pValue;qValue;binding_sequence;open_chromatin_region	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+5_ATACdb.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;motif_id;pValue;qValue;binding_sequence;open_chromatin_region	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+5_ATACdb.as	
bed bed6+5 Homer	bed6+5	chrom;chromStart;chromEnd;name;score;strand;motifID;DNA_binding_domain;cell_type;binding_sequence;consensus_sequence	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+5_Homer.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;motifID;DNA_binding_domain;cell_type;binding_sequence;consensus_sequence	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+5_Homer.as	
bed bed6+52 DASHR	bed6+52	chrom;chromStart;chromEnd;peakID;peakScore;strand;peakExpressionValue;peakEntropy5pReadEnd;peakNormalizedEntropy5p;peakMaxEntropy5p;peakEntropy3pReadEnd;peakNormalizedEntropy3p;peakMaxEntropy3p;maxProb5p;maxProb3p;maxPos5p;maxPos3p;beforePeakReadCnt;peakFoldChange;peakRPM;peakExprPercentile;annotchrom;annotchromStart;annotchromEnd;rnaID;rnaClass;annotStrand;annotOverlap;peakOverlap;consMean0;consMin;consMax;genomicPartition_mRNA;overlapIds_mRNA;partitionchrom_mRNA;partitionStart_mRNA;partitionEnd_mRNA;partitionStrand_mRNA;partitionBpOverlap_mRNA;genomicPartition_lncRNA;overlapIds_lncRNA;partitionchrom_lncRNA;partitionStart_lncRNA;partitionEnd_lncRNA;partitionStrand_lncRNA;partitionBpOverlap_lncRNA;numRepeatOverlaps;repeat_family;repeat_id;repeatchrom;repeatStart;repeatEnd;repeatStrand;repeatBpOverlap;length;tissue;anchorID;tissueSpecificity	58	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+52_DASHR.as	bed6+52	58	chrom;chromStart;chromEnd;name;score;strand;peakExpressionValue;peakEntropy5pReadEnd;peakNormalizedEntropy5p;peakMaxEntropy5p;peakEntropy3pReadEnd;peakNormalizedEntropy3p;peakMaxEntropy3p;maxProb5p;maxProb3p;maxPos5p;maxPos3p;beforePeakReadCnt;peakFoldChange;peakRPM;peakExprPercentile;annotchrom;annotchromStart;annotchromEnd;rnaID;rnaClass;annotStrand;annotOverlap;peakOverlap;consMean0;consMin;consMax;genomicPartition_mRNA;overlapIds_mRNA;partitionchrom_mRNA;partitionStart_mRNA;partitionEnd_mRNA;partitionStrand_mRNA;partitionBpOverlap_mRNA;genomicPartition_lncRNA;overlapIds_lncRNA;partitionchrom_lncRNA;partitionStart_lncRNA;partitionEnd_lncRNA;partitionStrand_lncRNA;partitionBpOverlap_lncRNA;numRepeatOverlaps;repeat_family;repeat_id;repeatchrom;repeatStart;repeatEnd;repeatStrand;repeatBpOverlap;length;tissue;anchorID;tissueSpecificity	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+52_DASHR.as	
bed bed6+8 TF_footprints	bed6+8	chrom;chromStart;chromEnd;name;length;strand;footprintStart;footprintEnd;sampleID;method;provenance;footprintScore;motifScore;fimoPvalue	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+8_TF_footprints.as	bed6+8	14	chrom;chromStart;chromEnd;name;score;strand;footprintStart;footprintEnd;sampleID;method;provenance;footprintScore;motifScore;fimoPvalue	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+8_TF_footprints.as	
bed bed9	bed9	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed9.as	bed9	9	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed9.as	
bed bedExonScore	bed6+3	chrom;chromStart;chromEnd;name;score;strand;signalValue;exonCount;constituitiveExons	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedExonScore.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;signalValue;exonCount;constituitiveExons	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedExonScore.as	
bed bedLogR	bed9+1	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;logR	10	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedLogR.as	bed9+1	10	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;logR	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedLogR.as	
bed bedMethyl	bed9+2	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;readCount;percentMeth	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedMethyl.as	bed9+2	11	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;readCount;percentMeth	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedMethyl.as	
bed bedRnaElements	bed6+3	chrom;chromStart;chromEnd;name;score;strand;level;signif;score2	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedRnaElements.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;level;signif;score2	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedRnaElements.as	
bed broadPeak	bed6+3	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_broadPeak.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_broadPeak.as	
bed idr_peak	bed6+8	chrom;chromStart;chromEnd;name;score;strand;localIDR;globalIDR;rep1_chromStart;rep1_chromEnd;rep1_count;rep2_chromStart;rep2_chromEnd;rep2_count	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_idr_peak.as	bed6+8	14	chrom;chromStart;chromEnd;name;score;strand;localIDR;globalIDR;rep1_chromStart;rep1_chromEnd;rep1_count;rep2_chromStart;rep2_chromEnd;rep2_count	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_idr_peak.as	
bed narrowPeak	bed6+4	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue;peak	10	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_narrowPeak.as	bed6+4	10	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue;peak	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_narrowPeak.as	
bed tss_peak	bed6+5	chrom;chromStart;chromEnd;name;score;strand;count;gene_id;gene_name;tss_id;peak_cov	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_tss_peak.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;count;gene_id;gene_name;tss_id;peak_cov	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_tss_peak.as	
bed bed3+1 score	bed3+1	chrom;chromStart;chromEnd;score	4	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+1_score.as	bed3+1	4	chrom;chromStart;chromEnd;score	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed3+1_score.as	
bed bed12	bed12	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts	12	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed12.as	bed12	12	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;blockCount;blockSizes;chromStarts	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed12.as	
bed bed6+5 VISTA_enhancer	bed6+5	chrom;chromStart;chromEnd;name;score;strand;annotation;enhancer_sequence;reference_sequence;expressionPattern;Flanking_genes	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+5_VISTA_enhancer.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;annotation;enhancer_sequence;reference_sequence;expressionPattern;Flanking_genes	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+5_VISTA_enhancer.as	
bed bed3+2 telomere_gaps	bed3+2	chrom;chromStart;chromEnd;size;type	5	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+2_telomere_gaps.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed3+4 CADDScore	bed3+4	chrom;chromStart;chromEnd;ref;alt;rawScore;PHRED	7	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+4_CADDScore.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed4+3 variant	bed4+3	chrom;chromStart;chromEnd;name;ref;alt;info	7	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed4+3_variant.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed3+6 gff	bed3+6	chrom;chromStart;chromEnd;source;type;strand;score;phase;gft/gff_attributes	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+6_gff.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bedPolyA	bed4+7	chrom;chromStart;chromEnd;polyA-clusterID;averageExpression;strand;percent;sampleNumber;expression;abbrevation;polyA-signalSequence	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedPolyA.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed9+5 WGBS	bed9+5	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb;coverage;readPercent;referenceGenotype;sampleGenotype;QualityScore	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed9+5_WGBS.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed gappedPeak	bed12+3	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts;signalValue;pValue;qValue	15	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_gappedPeak.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed narrowPeak-lifted	bed3+10	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;signalValue;pValue;qValue;peak	13	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_narrowPeak_lifted.as	bed6+4	10	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue;peak	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_narrowPeak.as	same schema as hg19, with hg38 co-ordinates
bed bed12-lifted	bed3+12	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts	15	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed12_lifted.as	bed12	12	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;blockCount;blockSizes;chromStarts	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed12.as	same schema as hg19, with hg38 co-ordinates
bed gappedPeak-lifted	bed3+15	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts;signalValue;pValue;qValue	18	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_gappedPeak_lifted.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed broadPeak-lifted	bed3+9	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;signalValue;pValue;qValue	12	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_broadPeak_lifted.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_broadPeak.as	same schema as hg19, with hg38 co-ordinates
bed bed3+11 ATACdb-lifted	bed3+11	chrom;chromStart;chromEnd;chrom_hg19;chromStart_hg19;chromEnd_hg19;name;score;strand;motif_id;pValue;qValue;binding_sequence;open_chromatin_region_hg38	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+11_ATACdb_lifted.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;motif_id;pValue;qValue;binding_sequence;open_chromatin_region	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+5_ATACdb.as	same schema as hg19, with hg38 co-ordinates
bed bed6-lifted	bed3+6	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6_lifted.as	bed6	6	chrom;chromStart;chromEnd;name;score;strand	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6.as	same schema as hg19, with hg38 co-ordinates
bed bed3-lifted	bed3+3	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19)	6	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3_lifted.as	bed3	3	chrom;chromStart;chromEnd	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed3.as	same schema as hg19, with hg38 co-ordinates